transaction_id,date,description,payee,amount,channel,transaction_type,beneficiary_id
TXN00001,2026-04-01 12:15:00,Payment to Mobile Recharge,Mobile Recharge,1567.39,Card,debit,BNF006
TXN00002,2026-04-02 10:00:00,Salary Credit,Employer Pvt Ltd,65000.0,Net Banking,salary,BNF000
TXN00003,2026-04-02 17:27:00,Payment to Grocery Mart,Grocery Mart,351.82,Card,debit,BNF001
TXN00004,2026-04-02 11:32:00,Payment to City Utilities,City Utilities,3972.82,Net Banking,debit,BNF002
TXN00005,2026-04-02 19:41:00,Payment to City Utilities,City Utilities,4603.41,UPI,debit,BNF002
TXN00006,2026-04-03 20:55:00,Payment to Landlord Co-op,Landlord Co-op,191.27,Card,debit,BNF003
TXN00007,2026-04-03 14:21:00,Payment to Mobile Recharge,Mobile Recharge,1914.48,Card,debit,BNF006
TXN00008,2026-04-03 13:06:00,Payment to Streaming Service,Streaming Service,738.94,Card,debit,BNF007
TXN00009,2026-04-04 12:51:00,Payment to Fuel Station,Fuel Station,425.91,UPI,debit,BNF005
TXN00010,2026-04-04 09:59:00,Payment to Fuel Station,Fuel Station,2553.69,Net Banking,debit,BNF005
TXN00011,2026-04-04 11:00:00,Monthly Rent,Landlord Co-op,18000.0,Net Banking,debit,BNF003
TXN00012,2026-04-05 21:23:00,Payment to Fuel Station,Fuel Station,3816.19,Card,debit,BNF005
TXN00013,2026-04-05 18:14:00,Payment to Grocery Mart,Grocery Mart,5058.98,Card,debit,BNF001
TXN00014,2026-04-05 11:55:00,Payment to Streaming Service,Streaming Service,791.36,Card,debit,BNF007
TXN00015,2026-04-06 13:22:00,Payment to City Utilities,City Utilities,1480.37,Card,debit,BNF002
TXN00016,2026-04-06 18:41:00,Payment to Mobile Recharge,Mobile Recharge,603.41,Card,debit,BNF006
TXN00017,2026-04-07 15:24:00,Payment to City Utilities,City Utilities,1864.17,Net Banking,debit,BNF002
TXN00018,2026-04-08 20:49:00,Payment to Streaming Service,Streaming Service,505.21,Card,debit,BNF007
TXN00019,2026-04-08 13:25:00,Payment to Streaming Service,Streaming Service,1850.15,Card,debit,BNF007
TXN00020,2026-04-10 11:41:00,Payment to Landlord Co-op,Landlord Co-op,3320.12,UPI,debit,BNF003
TXN00021,2026-04-10 12:08:00,Payment to City Utilities,City Utilities,1716.08,Net Banking,debit,BNF002
TXN00022,2026-04-10 12:47:00,Payment to Fuel Station,Fuel Station,3862.12,Net Banking,debit,BNF005
TXN00023,2026-04-11 16:31:00,Payment to City Utilities,City Utilities,727.27,Card,debit,BNF002
TXN00024,2026-04-13 18:27:00,Payment to Streaming Service,Streaming Service,3937.2,UPI,debit,BNF007
TXN00025,2026-04-14 12:35:00,Payment to Fuel Station,Fuel Station,5615.95,Card,debit,BNF005
TXN00026,2026-04-14 19:07:00,Payment to Mobile Recharge,Mobile Recharge,4478.86,Net Banking,debit,BNF006
TXN00027,2026-04-17 10:29:00,Payment to Food Court,Food Court,170.61,Card,debit,BNF004
TXN00028,2026-04-17 20:11:00,Payment to Fuel Station,Fuel Station,3373.78,Card,debit,BNF005
TXN00029,2026-04-19 17:12:00,Payment to Fuel Station,Fuel Station,1120.53,Card,debit,BNF005
TXN00030,2026-04-19 20:59:00,Payment to Fuel Station,Fuel Station,3517.75,Card,debit,BNF005
TXN00031,2026-04-19 13:31:00,Payment to Fuel Station,Fuel Station,273.68,Card,debit,BNF005
TXN00032,2026-04-22 17:05:00,Payment to City Utilities,City Utilities,693.9,UPI,debit,BNF002
TXN00033,2026-04-25 18:30:00,Payment to City Utilities,City Utilities,6162.49,Card,debit,BNF002
TXN00034,2026-04-26 11:59:00,Payment to Food Court,Food Court,3574.53,Card,debit,BNF004
TXN00035,2026-04-26 12:25:00,Payment to Mobile Recharge,Mobile Recharge,6469.2,Card,debit,BNF006
TXN00036,2026-04-26 16:28:00,Payment to Food Court,Food Court,918.38,Card,debit,BNF004
TXN00037,2026-04-27 16:14:00,Payment to Fuel Station,Fuel Station,3886.59,Card,debit,BNF005
TXN00038,2026-04-28 11:04:00,Payment to Grocery Mart,Grocery Mart,5899.42,Card,debit,BNF001
TXN00039,2026-04-28 16:15:00,Payment to Grocery Mart,Grocery Mart,1918.33,UPI,debit,BNF001
